"date";"txHash";"txNoteUser";"fromAddress";"fromTagsUser";"fromNoteUser";"fromTags";"toAddress";"toTagsUser";"toNoteUser";"toTags";"tokenName";"tokenAddress";"tokenSymbol";"value";"usdPrice";"usdValue"
"2023-11-30 14:29:11";"0x6f2de69bb6b8c56b4de80e93ab3be0f67cc08ecafef251d105ed35a86b9a79e6";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x2f6a5918084466b65fa2eedb059ea516073b841b";"";"";"";"USDC";"0x402f8b4ae6de0a1755c6b9bc025c4cfcc4835007";"USDC";"28500,000000";"";""
"2023-11-30 00:28:11";"0x26cc5e745d289e34cb56fa30d5eea95c843901df6671ec9283d12b3847048dc1";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x516fa3c176938037ba8416998a5f29c4d288dc82";"";"";"";"𝐔𝐒𝐃 𝐂𝐨𝐢𝐧";"0x350e503445830f8f18626c64d8a4b73f36f1f645";"𝐔𝐒𝐃𝐂";"8000,000000000000";"";""
"2023-11-29 07:07:23";"0x0238fabccf3204790c741291777734c926e55db8eee24bef01948fc652f12038";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x516fc698fb46506aa983a14f40b30c908d86dc82";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"8000,000000";"1,000013724458";"8000,1097956639"
"2023-10-07 22:24:59";"0xbd19cdde57152821fd3bbd4859d21bc500e1a0f4cb27c4750e18f5d5c987eb54";"";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"";"";"Stablecoins";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"# usdrewards.org";"0x0598bef845934d83463ceadd8c86f0801e2ee058";"Visit https://usdrewards.org to claim rewards";"3999,990000";"";""
"2023-08-29 01:34:47";"0x1036ede70d5ea5dce6825f5dd1beaf639e5ca49c76cd5d87806d005827857e79";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x2f67a952b952593848d597102298acf9253b841b";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"28500,000000";"1,0001758344512";"28505,011281859"
"2023-08-29 01:33:59";"0xe2419c0423820bda9d58d1793c335de394ad6f8f914be772e9e47e32cef341ec";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x516fc698fb46506aa983a14f40b30c908d86dc82";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"7000,000000";"0,9999733491572";"6999,8134441004"
"2023-08-17 15:54:47";"0x194156d8eac3750c4b79936b5a45a5a7223c15c6f703077f735b7b5886dd2705";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x975c3148e843de83b95f1f1a1ad0355d42e8d1db";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"69000,000000";"1,0000166349849";"69001,147813955"
"2023-08-08 15:52:59";"0xe474786ec363141d0d9bb3c31e65d5edf3fa01bf5220111000dce293881c5f0c";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x1cae0d50b9c7191a0769c9db5bc8089256dcd017";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"16942,000000";"0,99994812976732";"16941,121214518"
"2023-07-28 20:52:47";"0x1d9a98e4a2549bdfb936edb018f9bf838a9e971b691e8e014dc94b9c1d3ba544";"";"0x8dfd4f307b6011d4cb21007fd5658f0686523938";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"Pond0x 2.0";"0x9a25b66c3f9c571074052456351990958bb80f3f";"PNDX2.0";"81578511,766368034010422223";"";""
"2023-07-25 05:07:47";"0xc848ddf8f604254e6c791683778653679b72e1cf3b8628691d18da280277041f";"";"0x3ead12011320b97b6a8fcd6e82ff69da2e701c33";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"Pauly Coin";"0x89a11347a36b11aba35aa518f6060a3e0dbc65ab";"COPE";"1912445,454502539585509589";"";""
